IPO Date,Symbol,Company Name,IPO Price,Current,Return
"Dec 30, 2019",MKDTY,Molecular Data Inc.,$5.38,$0.00,-99.99%
"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,$11.00,$4.23,-61.55%
"Dec 19, 2019",MNPR,Monopar Therapeutics Inc.,$8.00,$0.87,-89.13%
"Dec 13, 2019",SPT,"Sprout Social, Inc.",$17.00,$44.28,160.47%
"Dec 13, 2019",OCFT,"OneConnect Financial Technology Co., Ltd.",$10.00,$4.10,-59.00%
"Dec 13, 2019",CIIC,CIIG Merger,$10.00,$21.60,116.00%
"Dec 13, 2019",HCCO,Healthcare Merger Corp,$10.00,$8.97,-10.30%
"Dec 12, 2019",BILL,"Bill.com Holdings, Inc.",$22.00,$108.19,391.77%
"Dec 12, 2019",EH,EHang Holdings Limited,$12.50,$12.78,2.24%
"Dec 11, 2019",XP,XP Inc.,$27.00,$23.45,-13.15%
"Dec 11, 2019",LIVK,LIV Capital Acquisition Corp.,$10.00,$10.30,3.00%
"Dec 5, 2019",LMPX,"LMP Automotive Holdings, Inc.",$5.00,$1.35,-73.00%
"Nov 26, 2019",ALUS,Alussa Energy Acquisition Corp.,$10.00,$9.50,-5.00%
"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",$19.00,$15.24,-19.79%
"Nov 22, 2019",PTAC,PropTech Acquisition Corp.,$10.00,$14.81,48.10%
"Nov 22, 2019",CHPM,CHP Merger Corp.,$10.00,$10.18,1.80%
"Nov 21, 2019",SITM,SiTime Corporation,$13.00,$114.80,783.08%
"Nov 21, 2019",CAN,Canaan Inc.,$9.00,$2.04,-77.33%
"Nov 21, 2019",GRNV,Greenvision Acquisition Corp.,$10.00,$8.14,-18.60%
"Nov 20, 2019",AMHC,Amplitude Healthcare Acquisition Corp.,$10.00,$15.12,51.20%
"Nov 20, 2019",SAQN,Software Acquisition Group,$10.00,$10.10,1.00%
"Nov 13, 2019",YAYO,"EVmo, Inc.",$4.00,$0.07,-98.34%
"Nov 11, 2019",ETNB,"89bio, Inc.",$16.00,$19.10,19.38%
"Nov 8, 2019",TELA,"TELA Bio, Inc.",$13.00,$10.43,-19.77%
"Nov 8, 2019",KRKR,36Kr Holdings Inc.,$14.50,$0.90,-93.82%
"Nov 8, 2019",CNSP,"CNS Pharmaceuticals, Inc.",$4.00,$2.35,-41.25%
"Nov 8, 2019",MOHOY,ECMOHO Limited,$10.00,-,-
"Nov 8, 2019",JIH,"Juniper Industrial Holdings, Inc.",$10.00,$13.19,31.90%
"Nov 8, 2019",SRAC,Stable Road Acquisition Corp.,$10.00,$10.97,9.70%
"Nov 7, 2019",GRTX,"Galera Therapeutics, Inc.",$12.00,$2.74,-77.17%
