IPODate,CompanyName,StockCode,IPOValue,IPOPrice
2019-01-31,New Fortress Energy LLC,NFE,300.0M,15
2019-01-31,Pivotal Acquisition Corp,PVT_u,200.0M,10
2019-02-28,Super League Gaming Inc,SLGG,27.3M,10.00-12.00
2019-02-28,Tortoise Acquisition,SHLL_u,225.0M,10
2019-02-27,Kaleido Biosciences Inc,KLDO,104.8M,20.00-22.00
2019-02-19,Soliton,SOLY,10.9M,5
2019-02-15,Stealth BioTherapeutics Inc,MITO,86.8M,12.00-14.00
2019-02-15,Hoth Therapeutics,HOTH,,-
2019-02-14,TCR2 Therapeutics Inc,TCRR,80.0M,14.00-16.00
2019-02-14,Avedro Inc,AVDR,80.0M,14.00-16.00
2019-02-12,Anchiano Therapeutics Ltd,ANCN,34.9M,14.55
2019-02-11,BankFlorida,BFL,68.2M,9.50-10.50
2019-02-08,Gossamer Bio Inc,GOSS,230.0M,16
2019-02-08,Harpoon Therapeutics Inc,HARP,81.0M,13.00-15.00
2019-02-08,Rmg Acquisition Corp,RMG_u,2.0B,10
2019-02-08,Imac Holdings Inc,IMAC,4.3M,5
2019-02-07,Alector Inc,ALEC,185.0M,18.00-20.00
2019-02-07,Monocle Acquisition Corp,MNCLU,150.0M,10
2019-02-06,Wealthbridge Acquisition Ltd,HHHH,50.0M,10
2019-02-01,Gores Metropoulos Inc,GMHIU,375.0M,10
2019-03-29,Lyft,LYFT,2.2B,72
2019-03-28,Precision BioSciences Inc,DTIL,126.4M,16
2019-03-28,GENFIT S.A.,GNFT,131.7M,26.33
2019-03-21,Levi Strauss & Co,LEVI,623.3M,17
2019-03-21,Insurance Acquisition,INSUU,130.0M,10
2019-03-20,UP Fintech Holding,TIGR,104.0M,8
2019-03-15,Trine Acquisition Corp,TRNE_u,250.0M,10
2019-03-08,Futu Holdings,FHL,130.8M,12
2019-03-08,Crescent Acquisition Corp,CRSAU,250.0M,10
2019-03-07,Shockwave Medical,SWAV,85.0M,17
2019-03-05,Tuscan Holdings Corp,THCBU,240.0M,10
2019-03-01,Diamondpeak Holdings Corp,DPHCU,250.0M,10
2019-03-01,Hennessy Capital Acquisition Corp IV,HCACU,261.0M,10
2019-04-18,Pinterest Inc,PINS,1.4B,19
2019-04-18,Zoom Video Communications,ZM,751.3M,36
2019-04-18,Hookipa Pharma Inc,HOOK,93.3M,14
2019-04-18,Greenlane Holdings Inc,GNLN,90.7M,17
2019-04-18,Brigham Minerals Inc,MNRL,243.0M,18
2019-04-17,Palomar Holdings Inc,PLMR,84.4M,15
2019-04-17,Brainsway Ltd,BRIN,29.9M,11.94
2019-04-17,Turning Point Therapeutics Inc,TPTX,166.5M,18
2019-04-11,Jumia Technologies AG,JMIA,195.8M,14.5
2019-04-11,Pagerduty Inc,PD,217.7M,24
2019-04-11,Tufin Software Technologies Ltd,TUFN,107.8M,14
2019-04-04,NGM Biopharmaceuticals Inc,NGM,106.7M,16
2019-04-04,8I ENTERPRISES ACQUISITION CORP,JFKUU,50.0M,10
2019-04-04,Silk Road Medical Inc,SILK,93.8M,20
2019-04-04,Tradeweb Markets Inc,TW,736.3M,27
2019-04-04,Replay Acquisition Corp,RPLA_u,250.0M,10
2019-04-03,Ruhnn Holding Ltd,RUHN,125.0M,12.5
2019-05-23,Ideaya Biosciences Inc,IDYA,50.0M,10
2019-05-23,Rattler Midstream LP,RTLR,333.3M,10
2019-05-23,Bicycle Therapeutics LTD,BCYC,60.7M,14
2019-05-21,GX Acquisition Corp,GXGXU,250.0M,10
2019-05-16,Avantor Inc,AVTR,2.9B,14
2019-05-16,Fastly Inc,FSLY,180.0M,16
2019-05-16,Luckin Coffee,LK,510.0M,17
2019-05-15,Postal Realty Trust Inc,PSTL,85.0M,17
2019-05-14,Applied Therapeutics Inc,APLT,40.0M,10
