IPO Date,Symbol,Company Name,IPO Price,Current,Return
5-Jan-22,CITE,Cartica Acquisition Corp,$10.00 ,$10.67 ,6.70%
6-Jan-22,SCRM,Screaming Eagle Acquisition Corp.,$10.00 ,$10.32 ,3.20%
7-Jan-22,AMLX,"Amylyx Pharmaceuticals, Inc.",$19.00 ,$23.06 ,21.37%
7-Jan-22,CINC,"CinCor Pharma, Inc.",$16.00 ,$29.06 ,81.63%
7-Jan-22,CXAC,C5 Acquisition Corporation,$10.00 ,$10.60 ,6.00%
7-Jan-22,VIGL,"Vigil Neuroscience, Inc.",$14.00 ,$9.60 ,-31.43%
7-Jan-22,VBOC,Viscogliosi Brothers Acquisition Corp.,$10.00 ,$10.48 ,4.80%
7-Jan-22,HOUR,"Hour Loop, Inc.",$4.00 ,$1.70 ,-57.50%
11-Jan-22,BRAC,Broad Capital Acquisition Corp.,$10.00 ,$10.70 ,7.00%
12-Jan-22,GHIX,"Gores Holdings IX, Inc.",$10.00 ,$10.22 ,2.20%
12-Jan-22,VCXB,10X Capital Venture Acquisition Corp. III,$10.00 ,$10.50 ,5.00%
12-Jan-22,ITAQ,"Industrial Tech Acquisitions II, Inc.",$10.00 ,$10.51 ,5.05%
12-Jan-22,WAVS,Western Acquisition Ventures Corp.,$10.00 ,$10.41 ,4.10%
12-Jan-22,HILS,"Hillstream BioPharma, Inc.",$4.00 ,$0.39 ,-90.38%
13-Jan-22,TPG,TPG Inc.,$29.50 ,$27.25 ,-7.63%
13-Jan-22,WNNR,Andretti Acquisition Corp.,$10.00 ,$10.64 ,6.40%
13-Jan-22,CSLM,"Consilium Acquisition Corp I, Ltd.",$10.00 ,$10.48 ,4.80%
14-Jan-22,PPYA,Papaya Growth Opportunity Corp. I,$10.00 ,$10.56 ,5.60%
14-Jan-22,ACAB,Atlantic Coastal Acquisition Corp. II,$10.00 ,$10.50 ,5.00%
18-Jan-22,TETE,Technology & Telecommunication Acquisition Corporation,$10.00 ,$10.80 ,8.00%
18-Jan-22,TKLF,"Yoshitsu Co., Ltd",$4.00 ,$1.26 ,-68.50%
19-Jan-22,AIB,AIB Acquisition Corporation,$10.00 ,$10.88 ,8.80%
20-Jan-22,GAQ,Generation Asia I Acquisition Limited,$10.00 ,$10.50 ,5.00%
20-Jan-22,BYN,Banyan Acquisition Corporation,$10.00 ,$10.38 ,3.80%
20-Jan-22,DUET,DUET Acquisition Corp.,$10.00 ,$10.51 ,5.10%
21-Jan-22,KNSW,KnightSwan Acquisition Corporation,$10.00 ,$10.54 ,5.40%
21-Jan-22,HMA,Heartland Media Acquisition Corp.,$10.00 ,$10.53 ,5.30%
21-Jan-22,HCMA,HCM Acquisition Corp,$10.00 ,$10.65 ,6.50%
25-Jan-22,KYCH,Keyarch Acquisition Corporation,$10.00 ,$10.44 ,4.40%
25-Jan-22,LATG,LatAmGrowth SPAC,$10.00 ,$10.65 ,6.45%
25-Jan-22,FGI,FGI Industries Ltd.,$6.00 ,$1.74 ,-71.17%
27-Jan-22,CRDO,Credo Technology Group Holding Ltd,$10.00 ,$17.44 ,74.40%
27-Jan-22,KSCP,"Knightscope, Inc.",$10.00 ,$0.39 ,-96.10%
31-Jan-22,BWAQ,Blue World Acquisition Corporation,$10.00 ,$10.62 ,6.20%
1-Feb-22,ACAX,Alset Capital Acquisition Corp.,$10.00 ,$10.90 ,9.00%
2-Feb-22,MTEK,Maris-Tech Ltd.,$4.20 ,$1.02 ,-75.71%
3-Feb-22,MURF,Murphy Canyon Acquisition Corp.,$10.00 ,$10.65 ,6.50%
4-Feb-22,ACLX,"Arcellx, Inc.",$15.00 ,$33.28 ,121.87%
4-Feb-22,TGR,Kimbell Tiger Acquisition Corporation,$10.00 ,$10.55 ,5.50%
4-Feb-22,NVCT,"Nuvectis Pharma, Inc.",$5.00 ,$16.95 ,239.00%
4-Feb-22,SSIC,Silver Spike Investment Corp.,$14.00 ,$8.14 ,-41.86%
7-Feb-22,ATAK,Aurora Technology Acquisition Corp.,$10.00 ,$10.59 ,5.90%
8-Feb-22,LIVB,LIV Capital Acquisition Corp. II,$10.00 ,$10.57 ,5.70%
9-Feb-22,BYNO,byNordic Acquisition Corporation,$10.00 ,$10.59 ,5.90%
9-Feb-22,EVGR,Evergreen Corporation,$10.00 ,$10.77 ,7.70%
9-Feb-22,CPAQ,Counter Press Acquisition Corporation,$10.00 ,$10.33 ,3.30%
10-Feb-22,SKYX,SKYX Platforms Corp.,$14.00 ,$2.55 ,-81.79%
10-Feb-22,HTCR,"HeartCore Enterprises, Inc.",$5.00 ,$1.60 ,-68.10%
11-Feb-22,JGGC,Jaguar Global Growth Corporation I,$10.00 ,$10.56 ,5.60%
11-Feb-22,SGHL,Signal Hill Acquisition Corp.,$10.00 ,$10.43 ,4.25%
11-Feb-22,MDV,Modiv Inc.,$25.00 ,$13.01 ,-47.96%
11-Feb-22,HNRA,HNR Acquisition Corp,$10.00 ,$10.62 ,6.20%
